	0
1123	KMT2A
1124	KMT2C
1125	KMT2E
1126	KNSTRN
1127	KPNA2
1128	KPNB1
1129	KRAS
1130	KRI1
1131	KRR1
1132	KRT10
1133	KRT18
1134	KRT8
1135	KRTCAP2
1136	KTN1
1137	LAGE3
1138	LAMP1
1139	LAMP2
1140	LAMTOR1
1141	LAMTOR2
1142	LAMTOR4
1143	LAMTOR5
1144	LAP3
1145	LAPTM4A
1146	LAPTM4B
1147	LAPTM5
1148	LARP1
1149	LARP7
1150	LARS
1151	LAS1L
1152	LASP1
1153	LBH
1154	LBR
1155	LCMT1
1156	LCP1
1157	LDHA
1158	LDHB
1159	LEMD2
1160	LENG8
1161	LEPROT
1162	LEPROTL1
1163	LETM1
1164	LFNG
1165	LGALS1
1166	LGALS3
1167	LGALS3BP
1168	LGALS9
1169	LIMD2
1170	LIMK1
1171	LIMS1
1172	LIPA
1173	LITAF
1174	LMAN1
1175	LMAN2
1176	LMNA
1177	LMNB1
1178	LMNB2
1179	LMO4
1180	LONP1
1181	LPAR2
1182	LPCAT1
1183	LPP
1184	LRFN4
1185	LRP10
1186	LRP11
1187	LRPAP1
1188	LRRC1
1189	LRRC42
1190	LRRC45
1191	LRRC59
1192	LRRFIP1
1193	LRRK2
1194	LSG1
1195	LSM1
1196	LSM14A
1197	LSM14B
1198	LSM2
1199	LSM3
1200	LSM4
1201	LSM5
1202	LSM6
1203	LSM7
1204	LSP1
1205	LSR
1206	LST1
1207	LTA4H
1208	LTB
1209	LTBP4
1210	LTBR
1211	LUC7L
1212	LUC7L3
1213	LY6E
1214	LYAR
1215	LYPLA1
1216	LYST
1217	LYZ
1218	M6PR
1219	MACF1
1220	MAD2L1
1221	MAD2L2
1222	MAF1
1223	MAFF
1224	MAGED2
1225	MAGOH
1226	MAGOHB
1227	MALAT1
1228	MAN1A2
1229	MAN1B1
1230	MANF
1231	MAP1LC3B
1232	MAP2K2
1233	MAP2K3
1234	MAP3K2
1235	MAPK1IP1L
1236	MAPK8IP3
1237	MAPRE1
1238	MARCH2
1239	MARCH6
1240	MARCH7
1241	MARCH9
1242	MARCKSL1
1243	MARS
1244	MAT2A
1245	MAT2B
1246	MAX
1247	MAZ
1248	MBNL1
1249	MBP
1250	MCL1
1251	MCM3
1252	MCM4
1253	MCM5
1254	MCM7
1255	MCTS1
1256	MDH1
1257	MDH2
1258	MDK
1259	MDM4
1260	MEA1
1261	MEAF6
1262	MED10
1263	MED28
1264	MED30
1265	MED4
1266	MEF2C
1267	MEN1
1268	MEST
1269	METAP2
1270	METTL1
1271	METTL23
1272	METTL3
1273	METTL5
1274	METTL7A
1275	METTL9
1276	MFF
1277	MFSD10
1278	MFSD12
1279	MFSD3
1280	MGAT1
1281	MGAT4A
1282	MGAT4B
1283	MGLL
1284	MGME1
1285	MGMT
1286	MGST1
1287	MGST2
1288	MGST3
1289	MICALL2
1290	MIDN
1291	MIEN1
1292	MIER1
1293	MIF
1294	MIIP
1295	MIR22HG
1296	MIS18A
1297	MIS18BP1
1298	MITD1
1299	MKNK2
1300	MKRN1
1301	MLEC
1302	MLF2
1303	MLST8
1304	MLXIP
1305	MMADHC
1306	MOB1A
1307	MOGS
1308	MORF4L1
1309	MORF4L2
1310	MOSPD3
1311	MPC1
1312	MPC2
1313	MPG
1314	MPHOSPH8
1315	MPLKIP
1316	MPST
1317	MPV17
1318	MPV17L2
1319	MRFAP1
1320	MRGBP
1321	MRPL11
